Iteration, Architecture, Learning Rate, Epochs, Activation Function
0,"[7, 14, 14]",invscaling,500,identity
1,"[7, 14, 14]",adaptive,500,identity
2,"[7, 14, 14]",adaptive,500,relu
3,"[7, 14, 14]",adaptive,500,identity
4,"[7, 14, 14]",constant,500,identity
5,"[7, 14, 14]",adaptive,500,relu
6,"[7, 14, 14]",adaptive,300,identity
7,"[7, 14, 14]",constant,500,relu
8,"[7, 14, 14]",constant,500,identity
9,"[7, 14, 7]",constant,500,relu
10,"[7, 14, 14]",constant,400,identity
11,"[7, 14, 7]",adaptive,500,identity
12,"[7, 7, 7]",invscaling,500,relu
13,"[7, 14, 7]",invscaling,500,relu
14,"[7, 14, 14]",constant,400,identity
15,"[7, 14, 14]",constant,400,identity
16,"[7, 14, 14]",invscaling,500,identity
17,"[7, 14, 14]",adaptive,500,identity
18,"[7, 14, 14]",invscaling,500,relu
19,"[7, 14, 14]",adaptive,400,relu
